Unique ID,Numeric Animal ID,Capture Number,SAT-1,SAT-2,SAT-3
17-0815,17,9,2.3,2.3,2.3
17-1015,17,10,2.2,2.3,2.0
17-1115,17,11,2.30,2.30,2.30
17-0216,17,12,2.30,2.30,1.93
17-0516,17,13,2.4,1.9,1.5
17-0816,17,14,2.4,2.4,1.8
17-1016,17,15,2.4,2.4,1.8
17-1216,17,16,2.4,2.2,2.1
17-0217,17,17,2.3,2.3,1.2
17-0517,17,18,,,
17-0817,17,19,,,
18-0314,18,1,1.2,1.7,1.2
18-0614,18,3,2.3,1.7,1.8
18-0814,18,4,2.3,2.3,2.3
18-1014,18,5,1.7,1.9,1.6
19-0314,19,1,1.8,2.3,1.6
19-0614,19,3,2.3,2.3,2.3
19-0814,19,4,2.0,2.3,1.2
19-1014,19,5,1.8,2.3,1.8
19-1214,19,6,2.3,2.3,2.3
19-0215,19,7,2.3,2.3,2.3
19-0615,19,8,2.3,2.3,2.3
19-0815,19,9,2.3,2.3,2.3
19-1015,19,10,2.3,2.3,2.1
19-1115,19,11,,,
19-0216,19,12,2.30,1.20,2.30
19-0516,19,13,2.4,1.9,1.7
19-0816,19,14,2.4,2.3,1.9
19-1016,19,15,2.4,2.2,1.7
19-1216,19,16,2.4,1.6,1.8
19-0217,19,17,2.3,1.9,1.2
19-0517,19,18,,,
19-0817,19,19,,,
20-0314,20,1,2.3,2.3,1.4
20-0614,20,3,1.6,2.3,1.2
20-0914,20,4,1.6,2.1,1.2
20-1014,20,5,1.5,2.3,1.2
20-1214,20,6,1.8,2.3,1.2
20-0615,20,8,2.3,2.3,1.7
20-0815,20,9,2.3,2.3,2.3
20-1015,20,10,2.3,1.7,2.0
20-1115,20,11,,,
20-0216,20,12,2.30,2.30,1.54
20-0516,20,13,2.4,2,1.4
20-0816,20,14,2.4,2.2,1.2
20-1016,20,15,2.4,2.4,1.6
20-1216,20,16,2.4,1.9,1.5
20-0217,20,17,2.4,2.4,1.2
20-0517,20,18,,,
20-0817,20,19,,,
21-0314,21,1,1.2,2.3,1.2
21-0614,21,3,1.8,2.3,1.2
21-0814,21,4,1.9,2.2,1.2
21-1014,21,5,1.9,2.3,1.3
21-1214,21,6,1.9,2.3,1.2
21-0215,21,7,2.3,2.3,1.8
21-0615,21,8,2.1,2.3,1.5
21-0815,21,9,1.9,2.3,1.9
21-1015,21,10,2.3,2.3,1.4
21-1115,21,11,2.30,1.78,1.39
21-0216,21,12,2.06,1.75,1.20
21-0516,21,13,2.4,1.8,1.2
21-0816,21,14,2.3,1.9,1.2
21-1016,21,15,2.3,2,1.2
21-1216,21,16,2.2,1.8,1.4
21-0217,21,17,2.2,2.1,1.2
21-0517,21,18,,,
21-0817,21,19,,,
22-0314,22,1,1.5,1.8,1.2
22-0614,22,3,2.3,1.8,1.2
22-0814,22,4,2.0,1.2,1.2
22-1014,22,5,2.3,1.2,1.2
23-0314,23,1,1.2,1.8,1.2
23-0614,23,3,1.2,1.2,1.2
23-0814,23,4,1.5,1.2,1.2
23-1014,23,5,2.3,1.2,1.3
23-1214,23,6,2.0,1.2,1.2
23-0215,23,7,2.3,1.5,2.0
23-0615,23,8,2.3,1.5,2.0
23-0815,23,9,2.3,1.6,2.0
23-1015,23,10,2.3,1.2,1.8
23-1115,23,11,2.30,1.20,1.41
23-0216,23,12,2.30,1.20,1.20
23-0516,23,13,2.4,1.2,1.6
23-0816,23,14,2.4,1.2,1.2
23-1016,23,15,2.4,1.2,1.5
